rank,GD4-control,GD4-preg,GD18-control,GD18-preg
0,H1f4,Gm10076,Lars2,Uba52
1,Rbm3,Ubb,7SK-298,Ube2s
2,Fgfbp3,Gng13,Rps29,Grcc10
3,Ide,Hsp90ab1,Slc6a6,H2ac18
4,Cox8a,Rps24,H4c4,Atp5g2
5,Btaf1,Calm1,Rufy3,Gm10076
6,Cirbp,Cox7c,Ndufb1,Rpl17-ps8
7,Arrdc3,Calm2,Kirrel2,Rpl13a
8,Prxl2b,Rps29,mt-Atp6,Rpl15
9,Lrrc3b,Rpl38,Strbp,Eno1
10,Dynlt1f,Omp,mt-Co2,Stmn4
11,Them6,Ndufb1,Malat1,Rps13-ps1
12,Gm47283,Rpl37,Atp5k,Dynlt1b
13,Cox5b,Tomm7,Rps28,Casp3
14,Gapdh,Atp5md,Auts2,Ubb
15,Gpx4,Mgst3,Dstn,Rhoq
16,Srrm4,Eif1,mt-Rnr1,Them6
17,Chchd10,Them6,Tasor,Schip1
18,H2ac20,Gfy,Epha7,Mef2a
19,Rpl17,Rps21,Msi2,Gpx4
